id,code_1c,article,name,brand,остаток,категория
40306,00016774,Кре679,"Крем дляя рук ""Элен"" гидрофобный от водных растворов, 100мл.",,3.000,"Хозтовары, сад, огород"
15728,00006834,47-0-030,Крестики 3.0 мм    150 шт Remocolor,REMOCOLOR,3.000,"Крепёж, канат, верёвка"
40566,00012507,12262-50-10,Лента клеящая 50мм*10м алюминиевая ЗУБР ЭКСПЕРТ,ЗУБР,3.000,"Хозтовары, сад, огород"
40568,00004696,12262-50-50,Лента клеящая 50мм*50м алюминиевая ЗУБР ЭКСПЕРТ,ЗУБР,3.000,"Хозтовары, сад, огород"
40614,00037572,РСВ-178289,Лента светоотражающая красно-белая МОМЕННТ ХЕНКЕЛЬ 45ммх5м,,3.000,"Хозтовары, сад, огород"
40621,00028640,12240-75-200,"Лента сигнальная  75мм х 200м  красно-белый,  ЗУБР Мастер",ЗУБР,3.000,"Хозтовары, сад, огород"
18845,00037005,70620-1,Масло для смазки цепи ЗУБР EXTRA 1л минеральное,ЗУБР,3.000,Масла
24582,00013577,29-0103,Набор термоусадочных трубок №3 (АССОРТИ) Rexant,REXANT,3.000,Электрика и освещение
24584,00013573,29-0104,Набор термоусадочных трубок №4 (РЫБОЛОВ) Rexant,REXANT,3.000,Электрика и освещение
24586,00013578,29-0105,Набор термоусадочных трубок №5 (СТАНДАРТ) Rexant,REXANT,3.000,Электрика и освещение
24588,00013574,29-0107,Набор термоусадочных трубок №7 (КЛЕЕВОЙ) Rexant,REXANT,3.000,Электрика и освещение
41136,00040186,РСВ-201800,Нить сантехническая льняная 110м FORA,,3.000,"Хозтовары, сад, огород"
6950,00003573,NIL-107400049,Переходник MultiFit NILFISK со стороны пылесоса на,,3.000,Запчасти к инструменту
4691,00005753,BSH-2609256949,Пилка HCS дерево 10x30 для PMF,,3.000,На модерацию
24870,00040379,SV-55323-015,"Припой ПОС-61 1мм, 15гр, трубка с флюсом СВЕТОЗАР",,3.000,Сварочное оборудование
7265,00035206,ZC-(MK24-50)10,Ствол в сборе для MAKITA 2450 аналог,,3.000,Запчасти к инструменту
7266,00035856,T1349721,Ствол перфоратора в сборе аналог MAKITA-2470,,3.000,Запчасти к инструменту
25667,00044081,09-3692-1,Флюс-гель для пайки индикаторный KELLER 20мл Rexant,REXANT,3.000,Электрика и освещение
25668,00035765,09-3692,Флюс-гель индикаторный KELLER 20мл Rexant,REXANT,3.000,Электрика и освещение
42852,00025267,12371-12-040,"Фумлента ЗУБР ""ЭКСПЕРТ"", плотность 0,40 г/см3, 0,2ммх12ммх15м",ЗУБР,3.000,"Хозтовары, сад, огород"
42857,00026299,РСВ-270617,Фумлента МОМЕНТ 19ммх20м 100мкм ХЕНКЕЛЬ,,3.000,"Хозтовары, сад, огород"
11952,00013288,,Шаблон сварщика универсальный УШС-3,,3.000,Измерительный инструмент
7398,00029200,71/5/25,"Шланг высокого давления для W165-ARV, W195-ARV 5м",,3.000,Запчасти к инструменту
39145,00042118,06092-08,Ведро  8л. пластиковое малярное прямоугольное STAYER,STAYER,2.000,На модерацию
6745,00037457,71/1/15,Головка триммерная с леской ETH-600 для GET600,,2.000,Запчасти к инструменту
14920,00001566,,"Зажим для стальных канатов,оцинкованный 16 мм  DIN",,2.000,Метизы
10689,00002200,,Индикатор радиоактивности RADEX RD1212,,2.000,Измерительный инструмент
39906,00033111,C1011,Канистра  2л для приготовления топлив смеси CHAMPION,CHAMPION,2.000,На модерацию
15963,00017816,,"Кольцо переходное 25,4х22,2 для дисков",,2.000,На модерацию
40307,00016772,,"Крем регенерирующий ""Элен"" для рук (востатавливающий) 100мл.",,2.000,"Хозтовары, сад, огород"
40419,00039693,21957,"Ледоруб СИБИН ЛС-200 1,1кг 200х1200мм",СИБИН,2.000,На модерацию
40420,00039694,21958-1,"Ледоруб СИБИН ЛТ-120 1,2кг 120х1400мм",СИБИН,2.000,На модерацию
40571,00031452,12262-75-50,Лента клеящая 70мм*50м алюминиевая ЗУБР ЭКСПЕРТ,ЗУБР,2.000,"Хозтовары, сад, огород"
18801,00045454,952830,"Масло д/2-х такт. двигателей 1,0 л полусентическое CHAMPION JASO FD",CHAMPION,2.000,Масла
7847,00010970,337458,Мешок для сухой и влажной уборки (8-15L) 337458,,2.000,Оснастка Hitachi
24580,00013576,29-0102,Набор термоусадочных трубок №2 (АВТО импорт) Rexan,,2.000,Электрика и освещение
24581,0110000473,29-0132,Набор термоусадочных трубок №2 ТУТнг 260шт черная Rexant,REXANT,2.000,Электрика и освещение
24583,0110000474,29-0133,Набор термоусадочных трубок №3 ТУТнг 288шт 4 цвета Rexant,REXANT,2.000,Электрика и освещение
11092,00036245,4325-Н13_z01,"Набор щупов автомоб. 0,05-1,00мм 13шт Зубр""МАСТЕР""",ЗУБР,2.000,Измерительный инструмент
41348,00012683,КПБ-7001,"Носилки пластиковые ударопрочные с ручками, объем",,2.000,"Хозтовары, сад, огород"
41681,00039896,12611,Пленка стрейч 300х450мм 17мкм STAYER упаковочная,STAYER,2.000,"Хозтовары, сад, огород"
11259,00034547,34730,Рейка геодезическая GR-5 KRAFTOOL,KRAFTOOL,2.000,Измерительный инструмент
42191,00040189,РСВ-161256,Смазка для монтажа пластиковых труб 250гр FORA,,2.000,"Хозтовары, сад, огород"
7233,00014566,71/4/16,"Стартер в сборе для BS-45, 52",,2.000,Запчасти к инструменту
7271,00032180,505KS-PD(MT),Тарелка опорная 125мм аналог Metabo,,2.000,Запчасти к инструменту
11576,00002740,61/10/201,Тестер 6890-63 8 in 1,,2.000,Измерительный инструмент
11638,00030951,3431-35,"Уголок столярный 350мм, гравированная шкала, нержавеющее полотно 37мм,  STAYER ""PROFI""",STAYER,2.000,Измерительный инструмент
11639,00018051,3431-40,"Уголок столярный 400мм, гравированная шкала, нержавеющее полотно 37мм,  STAYER ""PROFI""",STAYER,2.000,Измерительный инструмент
7323,00035204,ZZ-VD-GX390,Фильтр воздушный аналог HONDA GX-390 большой,,2.000,Запчасти к инструменту
7334,00038580,T543175,Фильтр топливный выход 4мм,,2.000,Запчасти к инструменту
25658,00013301,55477-020,"Флюс ЗУБР жир паяльный, нейтральный, 20гр",ЗУБР,2.000,Электрика и освещение
25661,00010860,55480-030,"Флюс ЛТИ-120, 30 мл. ЗУБР",ЗУБР,2.000,Электрика и освещение
25663,00005854,55478-030,"Флюс СКФ, 30 мл. ЗУБР",ЗУБР,2.000,Электрика и освещение
43203,00030258,09572,Шило хозяйственное 75мм ф4мм ЗУБР,ЗУБР,2.000,"Хозтовары, сад, огород"
43204,00029978,09573,"Шило хозяйственное, двухкомпонентная рукоятка, 100 мм ЗУБР ""Мастер""",ЗУБР,2.000,"Хозтовары, сад, огород"
7887,00001760,782232,Шланг для пылесоса D36 3м (OLD710091),,2.000,Оснастка Hitachi
43416,00039575,61065-055,Щетка-сметка АВТО 540мм ЗУБР со скребком,ЗУБР,2.000,"Хозтовары, сад, огород"
43395,00037544,39250-400,Щетка уличная 40см GRINDA с пластик держателем для черенка 25мм,GRINDA,2.000,"Хозтовары, сад, огород"
23732,00015212,55476-020,"Бура флюс ЗУБР, 20 гр",ЗУБР,1.000,Электрика и освещение
10562,00031785,45355,"Видеоскоп ВС-100 ЗУБР ПРОФЕССИОНАЛ 2,7"" 9мм, 0,6м",ЗУБР,1.000,Измерительный инструмент
